Tiempo,Velocidad,Setpoint,PWM,Error,KP,KI,KD
1.116689,0.0,0.0,0.0,0.0,100.0,500.0,10.0
1.222936,0.0,0.0,0.0,0.0,100.0,500.0,10.0
1.329304,0.0,0.0,0.0,0.0,100.0,500.0,10.0
1.435771,0.0,0.0,0.0,0.0,100.0,500.0,10.0
1.542331,0.0,0.0,0.0,0.0,100.0,500.0,10.0
1.648764,0.0,0.0,0.0,0.0,100.0,500.0,10.0
1.75936,0.0,0.0,0.0,0.0,100.0,500.0,10.0
1.86598,0.0,0.0,0.0,0.0,100.0,500.0,10.0
1.972363,0.0,0.0,0.0,0.0,100.0,500.0,10.0
2.078872,0.0,0.0,0.0,0.0,100.0,500.0,10.0
2.185459,0.0,0.0,0.0,0.0,100.0,500.0,10.0
2.29186,0.0,0.0,0.0,0.0,100.0,500.0,10.0
2.398486,0.0,0.0,0.0,0.0,100.0,500.0,10.0
2.508862,0.0,0.0,0.0,0.0,100.0,500.0,10.0
2.615315,0.0,0.0,0.0,0.0,100.0,500.0,10.0
2.721837,0.0,0.0,0.0,0.0,100.0,500.0,10.0
2.828351,0.0,0.0,0.0,0.0,100.0,500.0,10.0
2.934982,0.0,0.0,0.0,0.0,100.0,500.0,10.0
3.041254,0.0,0.0,0.0,0.0,100.0,500.0,10.0
3.147775,0.0,0.0,0.0,0.0,100.0,500.0,10.0
3.258527,0.0,0.0,0.0,0.0,100.0,500.0,10.0
3.364996,0.0,0.0,0.0,0.0,100.0,500.0,10.0
3.47133,0.0,0.0,0.0,0.0,100.0,500.0,10.0
3.577891,0.0,0.0,0.0,0.0,100.0,500.0,10.0
3.737881,0.0,0.25,60.63,0.25,100.0,500.0,10.0
3.848172,0.1816,0.25,13.71,0.06839999999999999,100.0,500.0,10.0
3.954759,0.0692,0.25,61.95,0.18080000000000002,100.0,500.0,10.0
4.061593,0.1871,0.25,32.23,0.06290000000000001,100.0,500.0,10.0
4.171957,0.1305,0.25,60.51,0.1195,100.0,500.0,10.0
4.278351,0.1913,0.25,46.69,0.0587,100.0,500.0,10.0
4.388871,0.1622,0.25,62.75,0.08779999999999999,100.0,500.0,10.0
4.495481,0.1832,0.25,59.58,0.0668,100.0,500.0,10.0
4.601884,0.1646,0.25,69.76,0.0854,100.0,500.0,10.0
4.71239,0.1801,0.25,68.89,0.06989999999999999,100.0,500.0,10.0
4.819165,0.1902,0.25,71.55,0.05979999999999999,100.0,500.0,10.0
4.92945,0.1922,0.25,75.26,0.05779999999999999,100.0,500.0,10.0
5.036219,0.202,0.25,76.15,0.04799999999999999,100.0,500.0,10.0
5.142758,0.2011,0.25,79.87,0.0489,100.0,500.0,10.0
5.253057,0.2025,0.25,82.08,0.04749999999999999,100.0,500.0,10.0
5.359595,0.1999,0.25,85.42,0.050100000000000006,100.0,500.0,10.0
5.470133,0.2001,0.25,87.84,0.0499,100.0,500.0,10.0
5.576841,0.2057,0.25,89.18,0.044300000000000006,100.0,500.0,10.0
5.683164,0.2146,0.25,89.87,0.03539999999999999,100.0,500.0,10.0
5.793692,0.2119,0.25,93.3,0.038099999999999995,100.0,500.0,10.0
5.900213,0.2176,0.25,93.71,0.03240000000000001,100.0,500.0,10.0
6.010768,0.2165,0.25,96.24,0.0335,100.0,500.0,10.0
6.154412,0.226,0.25,96.29,0.023999999999999994,100.0,500.0,10.0
6.260728,0.2284,0.25,97.66,0.021600000000000008,100.0,500.0,10.0
6.371247,0.2331,0.25,97.9,0.0169,100.0,500.0,10.0
6.477776,0.2331,0.25,99.24,0.0169,100.0,500.0,10.0
6.588441,0.2312,0.25,100.63,0.01880000000000001,100.0,500.0,10.0
6.698887,0.2355,0.25,100.41,0.014500000000000013,100.0,500.0,10.0
6.805677,0.2318,0.25,102.51,0.018199999999999994,100.0,500.0,10.0
6.916007,0.2349,0.25,102.4,0.015100000000000002,100.0,500.0,10.0
7.022695,0.2406,0.25,102.11,0.009399999999999992,100.0,500.0,10.0
7.133099,0.2379,0.25,103.81,0.0121,100.0,500.0,10.0
7.243629,0.2352,0.25,104.89,0.014800000000000008,100.0,500.0,10.0
7.350222,0.2428,0.25,103.57,0.007200000000000012,100.0,500.0,10.0
7.461294,0.2417,0.25,104.95,0.008300000000000002,100.0,500.0,10.0
