Tiempo,Velocidad,Setpoint,PWM,Error,KP,KI,KD
1.112875,0.0,0.0,0.0,0.0,170.0,10.0,0.0
1.218965,0.0,0.0,0.0,0.0,170.0,10.0,0.0
1.321734,0.0,0.0,0.0,0.0,170.0,10.0,0.0
1.428206,0.0,0.0,0.0,0.0,170.0,10.0,0.0
1.534375,0.0,0.0,0.0,0.0,170.0,10.0,0.0
1.636935,0.0,0.0,0.0,0.0,170.0,10.0,0.0
1.743476,0.0,0.0,0.0,0.0,170.0,10.0,0.0
1.845894,0.0,0.0,0.0,0.0,170.0,10.0,0.0
1.952301,0.0,0.0,0.0,0.0,170.0,10.0,0.0
2.111984,0.0,0.25,42.83,0.25,170.0,10.0,0.0
2.218418,0.1645,0.25,14.96,0.08549999999999999,170.0,10.0,0.0
2.324853,0.0792,0.25,29.63,0.1708,170.0,10.0,0.0
2.431381,0.1218,0.25,22.53,0.12819999999999998,170.0,10.0,0.0
2.534128,0.1004,0.25,26.32,0.1496,170.0,10.0,0.0
2.641064,0.1125,0.25,24.42,0.1375,170.0,10.0,0.0
2.746742,0.1076,0.25,25.4,0.1424,170.0,10.0,0.0
2.853322,0.1087,0.25,25.36,0.14129999999999998,170.0,10.0,0.0
2.959822,0.1098,0.25,25.32,0.1402,170.0,10.0,0.0
3.066618,0.1067,0.25,26.01,0.14329999999999998,170.0,10.0,0.0
3.172652,0.115,0.25,24.74,0.135,170.0,10.0,0.0
3.279243,0.1091,0.25,25.9,0.1409,170.0,10.0,0.0
3.38567,0.1107,0.25,25.76,0.13929999999999998,170.0,10.0,0.0
3.488253,0.1138,0.25,25.37,0.1362,170.0,10.0,0.0
3.594759,0.1137,0.25,25.55,0.1363,170.0,10.0,0.0
3.70165,0.112,0.25,25.98,0.138,170.0,10.0,0.0
3.80773,0.113,0.25,25.95,0.137,170.0,10.0,0.0
3.914067,0.111,0.25,26.44,0.139,170.0,10.0,0.0
4.020772,0.1161,0.25,25.71,0.13390000000000002,170.0,10.0,0.0
4.126989,0.1093,0.25,27.02,0.1407,170.0,10.0,0.0
4.233696,0.1192,0.25,25.48,0.1308,170.0,10.0,0.0
4.340046,0.1107,0.25,27.06,0.13929999999999998,170.0,10.0,0.0
4.442721,0.1194,0.25,25.73,0.1306,170.0,10.0,0.0
4.549259,0.1138,0.25,26.83,0.1362,170.0,10.0,0.0
4.655647,0.1168,0.25,26.46,0.13319999999999999,170.0,10.0,0.0
4.762008,0.1179,0.25,26.41,0.1321,170.0,10.0,0.0
4.868487,0.1185,0.25,26.45,0.1315,170.0,10.0,0.0
4.97482,0.1159,0.25,27.03,0.1341,170.0,10.0,0.0
5.081395,0.1225,0.25,26.04,0.1275,170.0,10.0,0.0
5.187876,0.1162,0.25,27.27,0.1338,170.0,10.0,0.0
5.290205,0.121,0.25,26.58,0.129,170.0,10.0,0.0
5.397142,0.1138,0.25,27.96,0.1362,170.0,10.0,0.0
5.503489,0.1195,0.25,27.12,0.1305,170.0,10.0,0.0
5.609883,0.121,0.25,27.0,0.129,170.0,10.0,0.0
5.716272,0.1181,0.25,27.62,0.13190000000000002,170.0,10.0,0.0
5.822625,0.1218,0.25,27.14,0.12819999999999998,170.0,10.0,0.0
5.929149,0.1226,0.25,27.13,0.1274,170.0,10.0,0.0
6.035634,0.122,0.25,27.37,0.128,170.0,10.0,0.0
6.178933,0.1224,0.25,27.49,0.1276,170.0,10.0,0.0
6.287629,0.1238,0.25,27.39,0.1262,170.0,10.0,0.0
6.388231,0.1202,0.25,28.13,0.1298,170.0,10.0,0.0
6.494728,0.1242,0.25,27.58,0.1258,170.0,10.0,0.0
6.601399,0.1206,0.25,28.35,0.12940000000000002,170.0,10.0,0.0
6.707466,0.1232,0.25,28.02,0.1268,170.0,10.0,0.0
6.813932,0.127,0.25,27.51,0.123,170.0,10.0,0.0
6.920384,0.1234,0.25,28.26,0.1266,170.0,10.0,0.0
7.026907,0.1266,0.25,27.85,0.12340000000000001,170.0,10.0,0.0
7.133366,0.1237,0.25,28.48,0.1263,170.0,10.0,0.0
7.240429,0.1254,0.25,28.32,0.12459999999999999,170.0,10.0,0.0
7.342265,0.1285,0.25,27.92,0.1215,170.0,10.0,0.0
7.448776,0.1216,0.25,29.24,0.12840000000000001,170.0,10.0,0.0
7.55541,0.1315,0.25,27.68,0.1185,170.0,10.0,0.0
7.661944,0.1212,0.25,29.56,0.1288,170.0,10.0,0.0
7.768225,0.1288,0.25,28.4,0.1212,170.0,10.0,0.0
7.874735,0.126,0.25,29.0,0.124,170.0,10.0,0.0
7.981183,0.131,0.25,28.27,0.119,170.0,10.0,0.0
8.087748,0.1284,0.25,28.86,0.12160000000000001,170.0,10.0,0.0
8.194237,0.1285,0.25,28.96,0.1215,170.0,10.0,0.0
8.296672,0.1274,0.25,29.28,0.12259999999999999,170.0,10.0,0.0
8.403046,0.1331,0.25,28.43,0.1169,170.0,10.0,0.0
8.509545,0.126,0.25,29.77,0.124,170.0,10.0,0.0
8.616102,0.132,0.25,28.88,0.118,170.0,10.0,0.0
8.722567,0.1249,0.25,30.21,0.1251,170.0,10.0,0.0
8.829579,0.1327,0.25,29.01,0.11729999999999999,170.0,10.0,0.0
8.935464,0.1304,0.25,29.53,0.11960000000000001,170.0,10.0,0.0
9.042084,0.1316,0.25,29.46,0.1184,170.0,10.0,0.0
9.148443,0.1325,0.25,29.43,0.1175,170.0,10.0,0.0
9.25205,0.1328,0.25,29.5,0.1172,170.0,10.0,0.0
9.357515,0.1315,0.25,29.85,0.1185,170.0,10.0,0.0
9.463918,0.1344,0.25,29.48,0.11560000000000001,170.0,10.0,0.0
9.570575,0.1316,0.25,30.08,0.1184,170.0,10.0,0.0
9.677072,0.1365,0.25,29.36,0.11349999999999999,170.0,10.0,0.0
9.783388,0.1303,0.25,30.56,0.1197,170.0,10.0,0.0
9.890043,0.1335,0.25,30.12,0.11649999999999999,170.0,10.0,0.0
9.996241,0.1335,0.25,30.26,0.11649999999999999,170.0,10.0,0.0
10.102733,0.1369,0.25,29.8,0.1131,170.0,10.0,0.0
10.205503,0.1342,0.25,30.38,0.11579999999999999,170.0,10.0,0.0
10.311885,0.1344,0.25,30.46,0.11560000000000001,170.0,10.0,0.0
10.418199,0.138,0.25,29.97,0.11199999999999999,170.0,10.0,0.0
10.524678,0.1327,0.25,31.0,0.11729999999999999,170.0,10.0,0.0
10.631198,0.1394,0.25,29.98,0.1106,170.0,10.0,0.0
10.737691,0.1328,0.25,31.22,0.1172,170.0,10.0,0.0
10.844162,0.139,0.25,30.28,0.11099999999999999,170.0,10.0,0.0
10.950629,0.1356,0.25,30.98,0.1144,170.0,10.0,0.0
11.057047,0.133,0.25,31.55,0.11699999999999999,170.0,10.0,0.0
11.159573,0.1389,0.25,30.67,0.1111,170.0,10.0,0.0
11.302855,0.1366,0.25,31.22,0.1134,170.0,10.0,0.0
11.409433,0.1416,0.25,30.48,0.1084,170.0,10.0,0.0
11.515879,0.1387,0.25,31.1,0.11130000000000001,170.0,10.0,0.0
11.622552,0.1395,0.25,31.08,0.11049999999999999,170.0,10.0,0.0
11.728831,0.1429,0.25,30.62,0.1071,170.0,10.0,0.0
11.835291,0.1351,0.25,32.05,0.1149,170.0,10.0,0.0
11.9417,0.1438,0.25,30.7,0.10619999999999999,170.0,10.0,0.0
12.048362,0.1355,0.25,32.23,0.11449999999999999,170.0,10.0,0.0
12.154728,0.1436,0.25,30.97,0.1064,170.0,10.0,0.0
12.257242,0.1377,0.25,32.09,0.11230000000000001,170.0,10.0,0.0
12.363686,0.1462,0.25,30.75,0.1038,170.0,10.0,0.0
12.470219,0.1383,0.25,32.21,0.1117,170.0,10.0,0.0
12.576753,0.1461,0.25,31.0,0.10389999999999999,170.0,10.0,0.0
12.683515,0.1378,0.25,32.53,0.1122,170.0,10.0,0.0
12.789708,0.1467,0.25,31.13,0.1033,170.0,10.0,0.0
12.896112,0.1401,0.25,32.36,0.1099,170.0,10.0,0.0
13.002597,0.1458,0.25,31.51,0.10419999999999999,170.0,10.0,0.0
13.109118,0.1395,0.25,32.69,0.11049999999999999,170.0,10.0,0.0
