Tiempo,Velocidad,Setpoint,PWM,Error,KP,KI,KD
1.114605,0.0,0.0,0.0,0.0,50.0,500.0,5.0
1.217036,0.0,0.0,0.0,0.0,50.0,500.0,5.0
1.323544,0.0,0.0,0.0,0.0,50.0,500.0,5.0
1.42613,0.0,0.0,0.0,0.0,50.0,500.0,5.0
1.53247,0.0,0.0,0.0,0.0,50.0,500.0,5.0
1.638817,0.0,0.0,0.0,0.0,50.0,500.0,5.0
1.741279,0.0,0.0,0.0,0.0,50.0,500.0,5.0
1.847872,0.0,0.0,0.0,0.0,50.0,500.0,5.0
1.954188,0.0,0.0,0.0,0.0,50.0,500.0,5.0
2.056618,0.0,0.0,0.0,0.0,50.0,500.0,5.0
2.16306,0.0,0.0,0.0,0.0,50.0,500.0,5.0
2.269597,0.0,0.0,0.0,0.0,50.0,500.0,5.0
2.372264,0.0,0.0,0.0,0.0,50.0,500.0,5.0
2.478433,0.0,0.0,0.0,0.0,50.0,500.0,5.0
2.581134,0.0,0.0,0.0,0.0,50.0,500.0,5.0
2.68745,0.0,0.0,0.0,0.0,50.0,500.0,5.0
2.79377,0.0,0.0,0.0,0.0,50.0,500.0,5.0
2.896432,0.0,0.0,0.0,0.0,50.0,500.0,5.0
3.002695,0.0,0.0,0.0,0.0,50.0,500.0,5.0
3.109198,0.0,0.0,0.0,0.0,50.0,500.0,5.0
3.211539,0.0,0.0,0.0,0.0,50.0,500.0,5.0
3.318017,0.0,0.0,0.0,0.0,50.0,500.0,5.0
3.420807,0.0,0.0,0.0,0.0,50.0,500.0,5.0
3.527044,0.0,0.0,0.0,0.0,50.0,500.0,5.0
3.686752,0.0,0.25,40.16,0.25,50.0,500.0,5.0
3.793227,0.1166,0.25,27.99,0.13340000000000002,50.0,500.0,5.0
3.899946,0.1043,0.25,42.4,0.1457,50.0,500.0,5.0
4.006242,0.1396,0.25,44.25,0.1104,50.0,500.0,5.0
4.109143,0.1537,0.25,49.7,0.0963,50.0,500.0,5.0
