Tiempo,Velocidad,Setpoint,PWM,Error,KP,KI,KD
1.111832,0.0,0.0,0.0,0.0,100.0,450.0,5.0
1.218439,0.0,0.0,0.0,0.0,100.0,450.0,5.0
1.324917,0.0,0.0,0.0,0.0,100.0,450.0,5.0
1.431037,0.0,0.0,0.0,0.0,100.0,450.0,5.0
1.537772,0.0,0.0,0.0,0.0,100.0,450.0,5.0
1.644112,0.0,0.0,0.0,0.0,100.0,450.0,5.0
1.750676,0.0,0.0,0.0,0.0,100.0,450.0,5.0
1.856984,0.0,0.0,0.0,0.0,100.0,450.0,5.0
1.963514,0.0,0.0,0.0,0.0,100.0,450.0,5.0
2.066089,0.0,0.0,0.0,0.0,100.0,450.0,5.0
2.225842,0.0,0.5,99.87,0.5,100.0,450.0,5.0
2.336489,0.0,0.5,106.93,0.5,100.0,450.0,5.0
2.443111,0.0,0.5,131.23,0.5,100.0,450.0,5.0
2.55336,0.0,0.5,155.52,0.5,100.0,450.0,5.0
2.660128,0.0,0.5,179.83,0.5,100.0,450.0,5.0
2.766791,0.0,0.5,204.13,0.5,100.0,450.0,5.0
2.877096,0.0,0.5,228.65,0.5,100.0,450.0,5.0
2.983592,0.0,0.5,252.95,0.5,100.0,450.0,5.0
3.094013,0.0,0.5,277.25,0.5,100.0,450.0,5.0
3.200493,0.0,0.5,301.55,0.5,100.0,450.0,5.0
3.307011,0.0,0.5,326.08,0.5,100.0,450.0,5.0
3.417529,0.0,0.5,350.15,0.5,100.0,450.0,5.0
3.524066,0.0,0.5,374.67,0.5,100.0,450.0,5.0
3.63453,0.0,0.5,398.75,0.5,100.0,450.0,5.0
3.741215,0.0,0.5,423.27,0.5,100.0,450.0,5.0
3.847667,0.0,0.5,447.57,0.5,100.0,450.0,5.0
3.958345,0.0,0.5,471.88,0.5,100.0,450.0,5.0
4.064781,0.0,0.5,496.18,0.5,100.0,450.0,5.0
4.17523,0.0,0.5,520.7,0.5,100.0,450.0,5.0
4.282038,0.0,0.5,545.0,0.5,100.0,450.0,5.0
4.388839,0.0,0.5,569.3,0.5,100.0,450.0,5.0
4.498893,0.0,0.5,593.6,0.5,100.0,450.0,5.0
4.605469,0.0,0.5,617.9,0.5,100.0,450.0,5.0
4.715913,0.0,0.5,642.43,0.5,100.0,450.0,5.0
4.822533,0.0,0.5,666.5,0.5,100.0,450.0,5.0
4.929037,0.0,0.5,691.03,0.5,100.0,450.0,5.0
5.039467,0.0,0.5,715.33,0.5,100.0,450.0,5.0
5.146079,0.0,0.5,739.63,0.5,100.0,450.0,5.0
5.256537,0.0,0.5,763.93,0.5,100.0,450.0,5.0
5.36417,0.0,0.5,788.23,0.5,100.0,450.0,5.0
5.469589,0.0,0.5,812.53,0.5,100.0,450.0,5.0
5.580174,0.0,0.5,837.05,0.5,100.0,450.0,5.0
5.686526,0.0,0.5,861.13,0.5,100.0,450.0,5.0
5.793123,0.0,0.5,885.65,0.5,100.0,450.0,5.0
5.903635,0.0,0.5,910.18,0.5,100.0,450.0,5.0
6.010159,0.0,0.5,934.25,0.5,100.0,450.0,5.0
6.157583,0.0,0.5,966.88,0.5,100.0,450.0,5.0
6.264051,0.0,0.5,991.4,0.5,100.0,450.0,5.0
6.374685,0.0,0.5,1015.93,0.5,100.0,450.0,5.0
6.48123,0.0,0.5,1040.23,0.5,100.0,450.0,5.0
6.591775,0.0,0.5,1064.98,0.5,100.0,450.0,5.0
6.702694,0.0,0.5,1089.5,0.5,100.0,450.0,5.0
6.808787,0.0,0.5,1114.03,0.5,100.0,450.0,5.0
6.91941,0.0,0.5,1138.55,0.5,100.0,450.0,5.0
7.030051,0.0,0.5,1163.08,0.5,100.0,450.0,5.0
7.136561,0.0,0.5,1187.6,0.5,100.0,450.0,5.0
