Tiempo,Velocidad,Setpoint,PWM,Error,KP,KI,KD
1.116293,0.0,0.0,0.0,0.0,100.0,400.0,15.0
1.222767,0.0,0.0,0.0,0.0,100.0,400.0,15.0
1.32931,0.0,0.0,0.0,0.0,100.0,400.0,15.0
1.435826,0.0,0.0,0.0,0.0,100.0,400.0,15.0
1.542242,0.0,0.0,0.0,0.0,100.0,400.0,15.0
1.648769,0.0,0.0,0.0,0.0,100.0,400.0,15.0
1.759273,0.0,0.0,0.0,0.0,100.0,400.0,15.0
1.865831,0.0,0.0,0.0,0.0,100.0,400.0,15.0
1.97237,0.0,0.0,0.0,0.0,100.0,400.0,15.0
2.078807,0.0,0.0,0.0,0.0,100.0,400.0,15.0
2.185512,0.0,0.0,0.0,0.0,100.0,400.0,15.0
2.291837,0.0,0.0,0.0,0.0,100.0,400.0,15.0
2.398516,0.0,0.0,0.0,0.0,100.0,400.0,15.0
2.504897,0.0,0.0,0.0,0.0,100.0,400.0,15.0
2.615346,0.0,0.0,0.0,0.0,100.0,400.0,15.0
2.721858,0.0,0.0,0.0,0.0,100.0,400.0,15.0
2.828403,0.0,0.0,0.0,0.0,100.0,400.0,15.0
2.934792,0.0,0.0,0.0,0.0,100.0,400.0,15.0
3.041327,0.0,0.0,0.0,0.0,100.0,400.0,15.0
3.147963,0.0,0.0,0.0,0.0,100.0,400.0,15.0
3.254374,0.0,0.0,0.0,0.0,100.0,400.0,15.0
3.365078,0.0,0.0,0.0,0.0,100.0,400.0,15.0
3.471556,0.0,0.0,0.0,0.0,100.0,400.0,15.0
3.577959,0.0,0.0,0.0,0.0,100.0,400.0,15.0
3.737639,0.0,0.25,64.44,0.25,100.0,400.0,15.0
3.848113,0.19,0.25,-1.79,0.06,100.0,400.0,15.0
3.954879,0.0317,0.25,71.83,0.2183,100.0,400.0,15.0
4.061156,0.1991,0.25,12.06,0.0509,100.0,400.0,15.0
4.171813,0.0659,0.25,75.0,0.18409999999999999,100.0,400.0,15.0
4.278317,0.1878,0.25,30.05,0.062200000000000005,100.0,400.0,15.0
4.388822,0.1096,0.25,71.84,0.1404,100.0,400.0,15.0
4.495329,0.17,0.25,49.99,0.07999999999999999,100.0,400.0,15.0
4.602013,0.1411,0.25,70.07,0.1089,100.0,400.0,15.0
4.712461,0.175,0.25,61.31,0.07500000000000001,100.0,400.0,15.0
4.818958,0.1706,0.25,70.42,0.0794,100.0,400.0,15.0
4.929383,0.1787,0.25,71.02,0.0713,100.0,400.0,15.0
5.036076,0.18,0.25,74.83,0.07,100.0,400.0,15.0
5.142988,0.1772,0.25,78.81,0.0728,100.0,400.0,15.0
5.253189,0.1782,0.25,81.3,0.0718,100.0,400.0,15.0
5.359605,0.1857,0.25,82.43,0.0643,100.0,400.0,15.0
5.470073,0.1911,0.25,84.71,0.05890000000000001,100.0,400.0,15.0
5.576631,0.1947,0.25,87.03,0.05529999999999999,100.0,400.0,15.0
5.683429,0.2049,0.25,87.0,0.0451,100.0,400.0,15.0
5.793952,0.2016,0.25,91.31,0.0484,100.0,400.0,15.0
5.900214,0.2095,0.25,90.74,0.04050000000000001,100.0,400.0,15.0
6.010703,0.206,0.25,94.57,0.04400000000000001,100.0,400.0,15.0
6.154551,0.2148,0.25,94.34,0.03520000000000001,100.0,400.0,15.0
6.260703,0.2166,0.25,96.26,0.03340000000000001,100.0,400.0,15.0
6.371331,0.2224,0.25,96.33,0.027600000000000013,100.0,400.0,15.0
6.477769,0.2222,0.25,98.37,0.02779999999999999,100.0,400.0,15.0
6.588224,0.2225,0.25,99.49,0.027499999999999997,100.0,400.0,15.0
6.694784,0.2265,0.25,99.55,0.023499999999999993,100.0,400.0,15.0
6.805322,0.2287,0.25,100.55,0.021300000000000013,100.0,400.0,15.0
6.913051,0.2341,0.25,100.23,0.015899999999999997,100.0,400.0,15.0
7.022456,0.2331,0.25,101.97,0.0169,100.0,400.0,15.0
7.133139,0.2333,0.25,102.51,0.016699999999999993,100.0,400.0,15.0
7.239527,0.2309,0.25,103.94,0.019100000000000006,100.0,400.0,15.0
7.350079,0.2355,0.25,103.14,0.014500000000000013,100.0,400.0,15.0
7.460668,0.2316,0.25,105.52,0.0184,100.0,400.0,15.0
7.567107,0.2382,0.25,103.93,0.011800000000000005,100.0,400.0,15.0
7.677798,0.2416,0.25,104.4,0.00839999999999999,100.0,400.0,15.0
7.784279,0.2323,0.25,107.85,0.017699999999999994,100.0,400.0,15.0
7.894945,0.2442,0.25,103.97,0.0058,100.0,400.0,15.0
8.00548,0.2336,0.25,108.87,0.016399999999999998,100.0,400.0,15.0
8.111983,0.2455,0.25,104.79,0.004500000000000004,100.0,400.0,15.0
8.22262,0.2429,0.25,107.34,0.007099999999999995,100.0,400.0,15.0
8.33322,0.2442,0.25,106.95,0.0058,100.0,400.0,15.0
8.439618,0.2392,0.25,108.78,0.010800000000000004,100.0,400.0,15.0
8.550493,0.2435,0.25,107.34,0.006500000000000006,100.0,400.0,15.0
8.660737,0.2472,0.25,107.19,0.002799999999999997,100.0,400.0,15.0
8.767388,0.2462,0.25,108.11,0.003799999999999998,100.0,400.0,15.0
8.877833,0.2507,0.25,106.85,0.0006999999999999784,100.0,400.0,15.0
8.988348,0.2405,0.25,110.33,0.009500000000000008,100.0,400.0,15.0
9.095105,0.2461,0.25,107.77,0.003899999999999987,100.0,400.0,15.0
9.205454,0.2462,0.25,108.69,0.003799999999999998,100.0,400.0,15.0
9.316106,0.2496,0.25,107.91,0.00040000000000001146,100.0,400.0,15.0
9.422573,0.2481,0.25,108.81,0.0019000000000000128,100.0,400.0,15.0
9.533221,0.2443,0.25,109.76,0.005700000000000011,100.0,400.0,15.0
9.639711,0.2462,0.25,108.94,0.003799999999999998,100.0,400.0,15.0
9.750154,0.2466,0.25,109.27,0.0033999999999999864,100.0,400.0,15.0
9.860819,0.2509,0.25,108.25,0.0009000000000000119,100.0,400.0,15.0
9.967289,0.2478,0.25,109.68,0.0022000000000000075,100.0,400.0,15.0
10.077881,0.2526,0.25,108.01,0.002599999999999991,100.0,400.0,15.0
10.1884,0.2436,0.25,111.08,0.006399999999999989,100.0,400.0,15.0
