Tiempo,Velocidad,Setpoint,PWM,Error,KP,KI,KD
1.114667,0.0,0.0,0.0,0.0,180.0,40.0,8.0
1.216998,0.0,0.0,0.0,0.0,180.0,40.0,8.0
1.323466,0.0,0.0,0.0,0.0,180.0,40.0,8.0
1.42588,0.0,0.0,0.0,0.0,180.0,40.0,8.0
1.532626,0.0,0.0,0.0,0.0,180.0,40.0,8.0
1.638851,0.0,0.0,0.0,0.0,180.0,40.0,8.0
1.745345,0.0,0.0,0.0,0.0,180.0,40.0,8.0
1.847824,0.0,0.0,0.0,0.0,180.0,40.0,8.0
1.954939,0.0,0.0,0.0,0.0,180.0,40.0,8.0
2.056654,0.0,0.0,0.0,0.0,180.0,40.0,8.0
2.16322,0.0,0.0,0.0,0.0,180.0,40.0,8.0
2.269811,0.0,0.0,0.0,0.0,180.0,40.0,8.0
2.372299,0.0,0.0,0.0,0.0,180.0,40.0,8.0
2.478602,0.0,0.0,0.0,0.0,180.0,40.0,8.0
2.581209,0.0,0.0,0.0,0.0,180.0,40.0,8.0
2.687544,0.0,0.0,0.0,0.0,180.0,40.0,8.0
2.793821,0.0,0.0,0.0,0.0,180.0,40.0,8.0
2.896341,0.0,0.0,0.0,0.0,180.0,40.0,8.0
3.002978,0.0,0.0,0.0,0.0,180.0,40.0,8.0
3.109123,0.0,0.0,0.0,0.0,180.0,40.0,8.0
3.211875,0.0,0.0,0.0,0.0,180.0,40.0,8.0
3.318403,0.0,0.0,0.0,0.0,180.0,40.0,8.0
3.424617,0.0,0.0,0.0,0.0,180.0,40.0,8.0
3.526907,0.0,0.0,0.0,0.0,180.0,40.0,8.0
3.633399,0.0,0.0,0.0,0.0,180.0,40.0,8.0
3.736062,0.0,0.0,0.0,0.0,180.0,40.0,8.0
3.8425,0.0,0.0,0.0,0.0,180.0,40.0,8.0
3.948934,0.0,0.0,0.0,0.0,180.0,40.0,8.0
4.051425,0.0,0.0,0.0,0.0,180.0,40.0,8.0
4.157853,0.0,0.0,0.0,0.0,180.0,40.0,8.0
4.264252,0.0,0.0,0.0,0.0,180.0,40.0,8.0
4.366753,0.0,0.0,0.0,0.0,180.0,40.0,8.0
4.47299,0.0,0.0,0.0,0.0,180.0,40.0,8.0
4.575499,0.0,0.0,0.0,0.0,180.0,40.0,8.0
4.682002,0.0,0.0,0.0,0.0,180.0,40.0,8.0
4.78843,0.0,0.0,0.0,0.0,180.0,40.0,8.0
4.89103,0.0,0.0,0.0,0.0,180.0,40.0,8.0
4.997409,0.0,0.0,0.0,0.0,180.0,40.0,8.0
5.103756,0.0,0.0,0.0,0.0,180.0,40.0,8.0
5.2063,0.0,0.0,0.0,0.0,180.0,40.0,8.0
5.312826,0.0,0.0,0.0,0.0,180.0,40.0,8.0
5.419268,0.0,0.0,0.0,0.0,180.0,40.0,8.0
5.521576,0.0,0.0,0.0,0.0,180.0,40.0,8.0
5.628031,0.0,0.0,0.0,0.0,180.0,40.0,8.0
5.730619,0.0,0.0,0.0,0.0,180.0,40.0,8.0
5.837139,0.0,0.0,0.0,0.0,180.0,40.0,8.0
5.94343,0.0,0.0,0.0,0.0,180.0,40.0,8.0
6.04599,0.0,0.0,0.0,0.0,180.0,40.0,8.0
6.152335,0.0,0.0,0.0,0.0,180.0,40.0,8.0
6.25881,0.0,0.0,0.0,0.0,180.0,40.0,8.0
6.361328,0.0,0.0,0.0,0.0,180.0,40.0,8.0
6.467826,0.0,0.0,0.0,0.0,180.0,40.0,8.0
6.570335,0.0,0.0,0.0,0.0,180.0,40.0,8.0
6.676813,0.0,0.0,0.0,0.0,180.0,40.0,8.0
6.783117,0.0,0.0,0.0,0.0,180.0,40.0,8.0
6.88547,0.0,0.0,0.0,0.0,180.0,40.0,8.0
6.991992,0.0,0.0,0.0,0.0,180.0,40.0,8.0
7.098381,0.0,0.0,0.0,0.0,180.0,40.0,8.0
7.20103,0.0,0.0,0.0,0.0,180.0,40.0,8.0
7.307493,0.0,0.0,0.0,0.0,180.0,40.0,8.0
7.413905,0.0,0.0,0.0,0.0,180.0,40.0,8.0
7.516199,0.0,0.0,0.0,0.0,180.0,40.0,8.0
7.622721,0.0,0.0,0.0,0.0,180.0,40.0,8.0
7.725113,0.0,0.0,0.0,0.0,180.0,40.0,8.0
7.831543,0.0,0.0,0.0,0.0,180.0,40.0,8.0
7.938075,0.0,0.0,0.0,0.0,180.0,40.0,8.0
8.040629,0.0,0.0,0.0,0.0,180.0,40.0,8.0
8.147092,0.0,0.0,0.0,0.0,180.0,40.0,8.0
8.253529,0.0,0.0,0.0,0.0,180.0,40.0,8.0
8.355876,0.0,0.0,0.0,0.0,180.0,40.0,8.0
8.462354,0.0,0.0,0.0,0.0,180.0,40.0,8.0
8.568869,0.0,0.0,0.0,0.0,180.0,40.0,8.0
8.671191,0.0,0.0,0.0,0.0,180.0,40.0,8.0
8.777735,0.0,0.0,0.0,0.0,180.0,40.0,8.0
8.880144,0.0,0.0,0.0,0.0,180.0,40.0,8.0
8.986615,0.0,0.0,0.0,0.0,180.0,40.0,8.0
9.092984,0.0,0.0,0.0,0.0,180.0,40.0,8.0
9.195532,0.0,0.0,0.0,0.0,180.0,40.0,8.0
9.301935,0.0,0.0,0.0,0.0,180.0,40.0,8.0
9.408436,0.0,0.0,0.0,0.0,180.0,40.0,8.0
9.510856,0.0,0.0,0.0,0.0,180.0,40.0,8.0
9.617562,0.0,0.0,0.0,0.0,180.0,40.0,8.0
9.719842,0.0,0.0,0.0,0.0,180.0,40.0,8.0
9.826382,0.0,0.0,0.0,0.0,180.0,40.0,8.0
9.932736,0.0,0.0,0.0,0.0,180.0,40.0,8.0
10.035171,0.0,0.0,0.0,0.0,180.0,40.0,8.0
10.141651,0.0,0.0,0.0,0.0,180.0,40.0,8.0
10.248111,0.0,0.0,0.0,0.0,180.0,40.0,8.0
10.350628,0.0,0.0,0.0,0.0,180.0,40.0,8.0
10.456947,0.0,0.0,0.0,0.0,180.0,40.0,8.0
10.563448,0.0,0.0,0.0,0.0,180.0,40.0,8.0
10.665901,0.0,0.0,0.0,0.0,180.0,40.0,8.0
10.772352,0.0,0.0,0.0,0.0,180.0,40.0,8.0
10.874939,0.0,0.0,0.0,0.0,180.0,40.0,8.0
10.98152,0.0,0.0,0.0,0.0,180.0,40.0,8.0
11.141014,0.0,0.25,59.31,0.25,180.0,40.0,8.0
11.284353,0.0032,0.25,47.23,0.2468,180.0,40.0,8.0
11.391088,0.0032,0.25,48.46,0.2468,180.0,40.0,8.0
11.497421,0.0089,0.25,48.05,0.2411,180.0,40.0,8.0
11.604029,0.0508,0.25,38.56,0.1992,180.0,40.0,8.0
11.706437,0.1467,0.25,17.78,0.1033,180.0,40.0,8.0
11.812816,0.0778,0.25,43.32,0.17220000000000002,180.0,40.0,8.0
11.919394,0.1581,0.25,18.0,0.09190000000000001,180.0,40.0,8.0
12.025986,0.082,0.25,44.15,0.16799999999999998,180.0,40.0,8.0
12.132238,0.1649,0.25,17.6,0.08510000000000001,180.0,40.0,8.0
12.238966,0.0838,0.25,45.27,0.16620000000000001,180.0,40.0,8.0
12.3452,0.1696,0.25,17.57,0.0804,180.0,40.0,8.0
12.451681,0.0833,0.25,46.81,0.16670000000000001,180.0,40.0,8.0
12.558069,0.1696,0.25,18.66,0.0804,180.0,40.0,8.0
12.660467,0.0868,0.25,47.0,0.1632,180.0,40.0,8.0
12.767039,0.1707,0.25,19.66,0.07930000000000001,180.0,40.0,8.0
12.87341,0.09,0.25,47.29,0.16,180.0,40.0,8.0
12.980029,0.1737,0.25,20.12,0.0763,180.0,40.0,8.0
13.086541,0.0966,0.25,46.75,0.15339999999999998,180.0,40.0,8.0
13.193083,0.1763,0.25,20.8,0.07369999999999999,180.0,40.0,8.0
13.299638,0.0961,0.25,47.98,0.15389999999999998,180.0,40.0,8.0
13.4065,0.1795,0.25,20.91,0.07050000000000001,180.0,40.0,8.0
13.512569,0.0952,0.25,49.4,0.1548,180.0,40.0,8.0
13.615032,0.1841,0.25,20.68,0.06589999999999999,180.0,40.0,8.0
13.721533,0.0968,0.25,50.32,0.1532,180.0,40.0,8.0
13.828474,0.1841,0.25,21.73,0.06589999999999999,180.0,40.0,8.0
13.93451,0.0969,0.25,51.23,0.1531,180.0,40.0,8.0
14.040853,0.1917,0.25,20.69,0.05829999999999999,180.0,40.0,8.0
14.147365,0.0981,0.25,52.32,0.15189999999999998,180.0,40.0,8.0
14.253806,0.1967,0.25,20.31,0.053299999999999986,180.0,40.0,8.0
14.360336,0.0996,0.25,53.18,0.1504,180.0,40.0,8.0
14.466758,0.2009,0.25,20.18,0.049100000000000005,180.0,40.0,8.0
14.569291,0.0977,0.25,54.85,0.1523,180.0,40.0,8.0
14.675784,0.2026,0.25,20.44,0.0474,180.0,40.0,8.0
14.782356,0.0973,0.25,55.92,0.1527,180.0,40.0,8.0
14.88891,0.2014,0.25,21.66,0.048600000000000004,180.0,40.0,8.0
14.995514,0.1071,0.25,54.22,0.1429,180.0,40.0,8.0
15.101729,0.2025,0.25,22.93,0.04749999999999999,180.0,40.0,8.0
15.208208,0.1103,0.25,54.29,0.1397,180.0,40.0,8.0
15.314601,0.2065,0.25,22.91,0.04350000000000001,180.0,40.0,8.0
15.417092,0.1096,0.25,55.48,0.1404,180.0,40.0,8.0
15.523871,0.2103,0.25,22.59,0.03970000000000001,180.0,40.0,8.0
15.629991,0.1078,0.25,56.99,0.1422,180.0,40.0,8.0
15.736505,0.2114,0.25,22.95,0.038599999999999995,180.0,40.0,8.0
15.843107,0.1091,0.25,57.52,0.1409,180.0,40.0,8.0
15.949582,0.214,0.25,23.22,0.036000000000000004,180.0,40.0,8.0
16.055983,0.1164,0.25,56.62,0.1336,180.0,40.0,8.0
16.16241,0.2134,0.25,24.65,0.036599999999999994,180.0,40.0,8.0
16.268914,0.1198,0.25,56.43,0.13019999999999998,180.0,40.0,8.0
16.412278,0.218,0.25,26.42,0.032,180.0,40.0,8.0
16.515011,0.1284,0.25,55.33,0.12160000000000001,180.0,40.0,8.0
16.621265,0.2068,0.25,28.71,0.04319999999999999,180.0,40.0,8.0
16.727985,0.1357,0.25,53.27,0.11430000000000001,180.0,40.0,8.0
16.834727,0.2037,0.25,30.73,0.04630000000000001,180.0,40.0,8.0
16.940713,0.1435,0.25,51.65,0.10650000000000001,180.0,40.0,8.0
17.047162,0.2003,0.25,32.81,0.049699999999999994,180.0,40.0,8.0
17.153618,0.1473,0.25,51.05,0.10270000000000001,180.0,40.0,8.0
17.260037,0.2002,0.25,33.77,0.04980000000000001,180.0,40.0,8.0
17.366613,0.148,0.25,51.53,0.10200000000000001,180.0,40.0,8.0
17.46904,0.1983,0.25,34.95,0.051699999999999996,180.0,40.0,8.0
17.575558,0.1544,0.25,50.37,0.09559999999999999,180.0,40.0,8.0
17.682155,0.1981,0.25,36.14,0.0519,180.0,40.0,8.0
17.788707,0.1642,0.25,48.46,0.08579999999999999,180.0,40.0,8.0
17.894993,0.1926,0.25,38.9,0.05740000000000001,180.0,40.0,8.0
18.001486,0.1693,0.25,47.32,0.0807,180.0,40.0,8.0
18.108186,0.1893,0.25,40.71,0.060700000000000004,180.0,40.0,8.0
18.214389,0.1718,0.25,47.0,0.07819999999999999,180.0,40.0,8.0
18.321038,0.191,0.25,41.04,0.059,180.0,40.0,8.0
18.423525,0.1766,0.25,46.46,0.07339999999999999,180.0,40.0,8.0
18.529992,0.1922,0.25,41.64,0.05779999999999999,180.0,40.0,8.0
18.636391,0.1777,0.25,46.83,0.0723,180.0,40.0,8.0
18.742954,0.1886,0.25,43.23,0.06140000000000001,180.0,40.0,8.0
18.849274,0.1848,0.25,45.27,0.06520000000000001,180.0,40.0,8.0
18.955761,0.1841,0.25,45.45,0.06589999999999999,180.0,40.0,8.0
19.06225,0.1888,0.25,44.46,0.061200000000000004,180.0,40.0,8.0
19.168714,0.1857,0.25,45.87,0.0643,180.0,40.0,8.0
19.275222,0.1902,0.25,44.74,0.05979999999999999,180.0,40.0,8.0
19.377918,0.1875,0.25,46.06,0.0625,180.0,40.0,8.0
19.484154,0.1938,0.25,44.46,0.0562,180.0,40.0,8.0
19.590684,0.1858,0.25,47.27,0.06420000000000001,180.0,40.0,8.0
19.697176,0.1938,0.25,44.84,0.0562,180.0,40.0,8.0
19.803616,0.1831,0.25,48.46,0.06689999999999999,180.0,40.0,8.0
19.910184,0.2016,0.25,43.12,0.0484,180.0,40.0,8.0
20.016595,0.1837,0.25,49.39,0.0663,180.0,40.0,8.0
20.123118,0.2048,0.25,42.83,0.04519999999999999,180.0,40.0,8.0
20.229494,0.1824,0.25,50.46,0.0676,180.0,40.0,8.0
20.332037,0.2023,0.25,43.89,0.04769999999999999,180.0,40.0,8.0
20.438592,0.1862,0.25,49.78,0.0638,180.0,40.0,8.0
20.545015,0.1966,0.25,46.11,0.0534,180.0,40.0,8.0
20.651557,0.1978,0.25,46.83,0.052199999999999996,180.0,40.0,8.0
20.757919,0.1933,0.25,48.3,0.0567,180.0,40.0,8.0
20.864519,0.2049,0.25,45.17,0.0451,180.0,40.0,8.0
20.971015,0.1905,0.25,49.98,0.0595,180.0,40.0,8.0
21.077359,0.2026,0.25,46.01,0.0474,180.0,40.0,8.0
21.180068,0.1936,0.25,49.48,0.056400000000000006,180.0,40.0,8.0
21.286429,0.2031,0.25,46.57,0.0469,180.0,40.0,8.0
21.392679,0.1962,0.25,49.28,0.05379999999999999,180.0,40.0,8.0
21.536405,0.2055,0.25,46.81,0.04450000000000001,180.0,40.0,8.0
21.642656,0.1964,0.25,49.88,0.05360000000000001,180.0,40.0,8.0
21.749236,0.2042,0.25,47.39,0.04580000000000001,180.0,40.0,8.0
21.855563,0.1975,0.25,49.92,0.05249999999999999,180.0,40.0,8.0
21.962103,0.2029,0.25,48.24,0.0471,180.0,40.0,8.0
22.068715,0.2015,0.25,49.2,0.04849999999999999,180.0,40.0,8.0
22.175093,0.2089,0.25,47.38,0.0411,180.0,40.0,8.0
22.277711,0.1987,0.25,50.76,0.05130000000000001,180.0,40.0,8.0
22.384395,0.2108,0.25,47.07,0.03920000000000001,180.0,40.0,8.0
22.490483,0.1981,0.25,51.45,0.0519,180.0,40.0,8.0
22.597017,0.2103,0.25,47.54,0.03970000000000001,180.0,40.0,8.0
22.703486,0.2,0.25,51.31,0.04999999999999999,180.0,40.0,8.0
22.809789,0.2134,0.25,47.27,0.036599999999999994,180.0,40.0,8.0
22.916641,0.204,0.25,50.87,0.04600000000000001,180.0,40.0,8.0
23.02286,0.2076,0.25,49.41,0.04239999999999999,180.0,40.0,8.0
23.129322,0.2078,0.25,49.82,0.04219999999999999,180.0,40.0,8.0
23.231749,0.2055,0.25,50.62,0.04450000000000001,180.0,40.0,8.0
23.338389,0.2082,0.25,49.93,0.041800000000000004,180.0,40.0,8.0
23.444779,0.2074,0.25,50.52,0.0426,180.0,40.0,8.0
23.55131,0.2124,0.25,49.34,0.037599999999999995,180.0,40.0,8.0
23.657847,0.2097,0.25,50.58,0.0403,180.0,40.0,8.0
23.764427,0.2104,0.25,50.36,0.039599999999999996,180.0,40.0,8.0
23.870744,0.2083,0.25,51.11,0.04169999999999999,180.0,40.0,8.0
23.977276,0.2149,0.25,49.42,0.03509999999999999,180.0,40.0,8.0
24.08379,0.2059,0.25,52.4,0.0441,180.0,40.0,8.0
24.18641,0.2205,0.25,48.14,0.0295,180.0,40.0,8.0
24.292883,0.2051,0.25,53.35,0.044899999999999995,180.0,40.0,8.0
24.399362,0.2212,0.25,48.19,0.028799999999999992,180.0,40.0,8.0
24.505578,0.2057,0.25,53.56,0.044300000000000006,180.0,40.0,8.0
24.612085,0.2169,0.25,49.67,0.03309999999999999,180.0,40.0,8.0
24.718479,0.2075,0.25,53.1,0.04250000000000001,180.0,40.0,8.0
24.825096,0.2213,0.25,48.99,0.028700000000000003,180.0,40.0,8.0
24.931542,0.2043,0.25,54.57,0.04569999999999999,180.0,40.0,8.0
25.03789,0.228,0.25,47.29,0.021999999999999992,180.0,40.0,8.0
25.140421,0.2013,0.25,56.12,0.04869999999999999,180.0,40.0,8.0
25.246907,0.2313,0.25,46.52,0.018699999999999994,180.0,40.0,8.0
25.353466,0.1954,0.25,58.19,0.05460000000000001,180.0,40.0,8.0
25.459842,0.2338,0.25,45.77,0.016199999999999992,180.0,40.0,8.0
