Tiempo,Velocidad,Setpoint,PWM,Error,KP,KI,KD
1.114805,0.0,0.0,0.0,0.0,100.0,450.0,3.0
1.217316,0.0,0.0,0.0,0.0,100.0,450.0,3.0
1.323904,0.0,0.0,0.0,0.0,100.0,450.0,3.0
1.430366,0.0,0.0,0.0,0.0,100.0,450.0,3.0
1.536814,0.0,0.0,0.0,0.0,100.0,450.0,3.0
1.643329,0.0,0.0,0.0,0.0,100.0,450.0,3.0
1.749712,0.0,0.0,0.0,0.0,100.0,450.0,3.0
1.856183,0.0,0.0,0.0,0.0,100.0,450.0,3.0
1.96287,0.0,0.0,0.0,0.0,100.0,450.0,3.0
2.069267,0.0,0.0,0.0,0.0,100.0,450.0,3.0
2.171825,0.0,0.0,0.0,0.0,100.0,450.0,3.0
2.27819,0.0,0.0,0.0,0.0,100.0,450.0,3.0
2.384721,0.0,0.0,0.0,0.0,100.0,450.0,3.0
2.491169,0.0,0.0,0.0,0.0,100.0,450.0,3.0
2.597675,0.0,0.0,0.0,0.0,100.0,450.0,3.0
2.704176,0.0,0.0,0.0,0.0,100.0,450.0,3.0
2.810447,0.0,0.0,0.0,0.0,100.0,450.0,3.0
2.917022,0.0,0.0,0.0,0.0,100.0,450.0,3.0
3.019518,0.0,0.0,0.0,0.0,100.0,450.0,3.0
3.126035,0.0,0.0,0.0,0.0,100.0,450.0,3.0
3.232594,0.0,0.0,0.0,0.0,100.0,450.0,3.0
3.338901,0.0,0.0,0.0,0.0,100.0,450.0,3.0
3.44549,0.0,0.0,0.0,0.0,100.0,450.0,3.0
3.552117,0.0,0.0,0.0,0.0,100.0,450.0,3.0
3.711617,0.0,0.25,47.69,0.25,100.0,450.0,3.0
3.818152,0.1465,0.25,29.23,0.10350000000000001,100.0,450.0,3.0
3.924569,0.119,0.25,43.16,0.131,100.0,450.0,3.0
4.031257,0.1478,0.25,43.62,0.10220000000000001,100.0,450.0,3.0
4.14164,0.1543,0.25,48.21,0.09570000000000001,100.0,450.0,3.0
4.248093,0.1659,0.25,51.0,0.08410000000000001,100.0,450.0,3.0
4.354688,0.1767,0.25,53.42,0.0733,100.0,450.0,3.0
4.461107,0.1807,0.25,56.58,0.0693,100.0,450.0,3.0
4.567658,0.1853,0.25,59.23,0.06470000000000001,100.0,450.0,3.0
4.674169,0.1803,0.25,63.35,0.06970000000000001,100.0,450.0,3.0
4.780597,0.1807,0.25,66.5,0.0693,100.0,450.0,3.0
4.891217,0.1848,0.25,69.12,0.06520000000000001,100.0,450.0,3.0
4.997563,0.1902,0.25,71.43,0.05979999999999999,100.0,450.0,3.0
5.104252,0.1948,0.25,73.67,0.0552,100.0,450.0,3.0
5.210662,0.2055,0.25,74.56,0.04450000000000001,100.0,450.0,3.0
5.317147,0.203,0.25,77.46,0.046999999999999986,100.0,450.0,3.0
5.423909,0.21,0.25,78.39,0.04000000000000001,100.0,450.0,3.0
5.530103,0.2043,0.25,81.54,0.04569999999999999,100.0,450.0,3.0
5.640613,0.2053,0.25,83.41,0.04469999999999999,100.0,450.0,3.0
5.74717,0.2032,0.25,85.96,0.04680000000000001,100.0,450.0,3.0
5.853607,0.2088,0.25,87.17,0.04119999999999999,100.0,450.0,3.0
5.96013,0.2121,0.25,88.73,0.03789999999999999,100.0,450.0,3.0
6.066743,0.2148,0.25,90.17,0.03520000000000001,100.0,450.0,3.0
6.210058,0.2152,0.25,92.47,0.0348,100.0,450.0,3.0
6.316509,0.218,0.25,93.66,0.032,100.0,450.0,3.0
6.426998,0.2198,0.25,94.96,0.030200000000000005,100.0,450.0,3.0
6.533658,0.226,0.25,95.37,0.023999999999999994,100.0,450.0,3.0
6.6401,0.2305,0.25,95.92,0.01949999999999999,100.0,450.0,3.0
6.746732,0.2348,0.25,96.23,0.015199999999999991,100.0,450.0,3.0
6.852919,0.2309,0.25,97.78,0.019100000000000006,100.0,450.0,3.0
6.959545,0.2356,0.25,97.75,0.014399999999999996,100.0,450.0,3.0
7.066109,0.2308,0.25,99.43,0.019199999999999995,100.0,450.0,3.0
7.176539,0.2345,0.25,99.56,0.015500000000000014,100.0,450.0,3.0
7.283325,0.2349,0.25,100.35,0.015100000000000002,100.0,450.0,3.0
7.389553,0.2372,0.25,100.69,0.012800000000000006,100.0,450.0,3.0
7.500114,0.2325,0.25,102.21,0.017499999999999988,100.0,450.0,3.0
7.606722,0.2371,0.25,102.12,0.012899999999999995,100.0,450.0,3.0
7.717252,0.2433,0.25,101.79,0.0067000000000000115,100.0,450.0,3.0
7.824,0.2427,0.25,102.38,0.007300000000000001,100.0,450.0,3.0
7.930347,0.2436,0.25,102.57,0.006399999999999989,100.0,450.0,3.0
8.040762,0.2412,0.25,103.33,0.008800000000000002,100.0,450.0,3.0
8.147265,0.2442,0.25,103.16,0.0058,100.0,450.0,3.0
8.257875,0.2422,0.25,103.89,0.007800000000000001,100.0,450.0,3.0
8.364588,0.2475,0.25,103.28,0.0025000000000000022,100.0,450.0,3.0
8.470957,0.2474,0.25,103.56,0.002599999999999991,100.0,450.0,3.0
8.581483,0.2462,0.25,103.89,0.003799999999999998,100.0,450.0,3.0
8.687949,0.2431,0.25,104.6,0.0068999999999999895,100.0,450.0,3.0
8.798427,0.2445,0.25,104.6,0.005500000000000005,100.0,450.0,3.0
8.904981,0.2457,0.25,104.69,0.004299999999999998,100.0,450.0,3.0
9.01172,0.2526,0.25,103.71,0.002599999999999991,100.0,450.0,3.0
9.122009,0.2444,0.25,105.23,0.005599999999999994,100.0,450.0,3.0
9.228867,0.2457,0.25,105.04,0.004299999999999998,100.0,450.0,3.0
9.335232,0.2492,0.25,104.68,0.0007999999999999952,100.0,450.0,3.0
9.445685,0.2462,0.25,105.35,0.003799999999999998,100.0,450.0,3.0
9.552486,0.254,0.25,104.06,0.0040000000000000036,100.0,450.0,3.0
9.662643,0.2469,0.25,105.35,0.0030999999999999917,100.0,450.0,3.0
9.769276,0.2485,0.25,105.01,0.0015000000000000013,100.0,450.0,3.0
9.875705,0.2457,0.25,105.63,0.004299999999999998,100.0,450.0,3.0
