Tiempo,Velocidad,Setpoint,PWM,Error,KP,KI,KD
1.115099,0.0,0.0,0.0,0.0,200.0,400.0,30.0
1.221405,0.0,0.0,0.0,0.0,200.0,400.0,30.0
1.328096,0.0,0.0,0.0,0.0,200.0,400.0,30.0
1.434503,0.0,0.0,0.0,0.0,200.0,400.0,30.0
1.545005,0.0,0.0,0.0,0.0,200.0,400.0,30.0
1.651398,0.0,0.0,0.0,0.0,200.0,400.0,30.0
1.757903,0.0,0.0,0.0,0.0,200.0,400.0,30.0
1.864532,0.0,0.0,0.0,0.0,200.0,400.0,30.0
1.970975,0.0,0.0,0.0,0.0,200.0,400.0,30.0
2.07764,0.0,0.0,0.0,0.0,200.0,400.0,30.0
2.183962,0.0,0.0,0.0,0.0,200.0,400.0,30.0
2.294489,0.0,0.0,0.0,0.0,200.0,400.0,30.0
2.400907,0.0,0.0,0.0,0.0,200.0,400.0,30.0
2.50743,0.0,0.0,0.0,0.0,200.0,400.0,30.0
2.614026,0.0,0.0,0.0,0.0,200.0,400.0,30.0
2.720465,0.0,0.0,0.0,0.0,200.0,400.0,30.0
2.827246,0.0,0.0,0.0,0.0,200.0,400.0,30.0
2.9335,0.0,0.0,0.0,0.0,200.0,400.0,30.0
3.04408,0.0,0.0,0.0,0.0,200.0,400.0,30.0
3.150578,0.0,0.0,0.0,0.0,200.0,400.0,30.0
3.257108,0.0,0.0,0.0,0.0,200.0,400.0,30.0
3.3635,0.0,0.0,0.0,0.0,200.0,400.0,30.0
3.470312,0.0,0.0,0.0,0.0,200.0,400.0,30.0
3.576603,0.0,0.0,0.0,0.0,200.0,400.0,30.0
3.740338,0.0,0.25,112.87,0.25,200.0,400.0,30.0
3.846973,0.3182,0.25,-88.19,0.06819999999999998,200.0,400.0,30.0
3.957577,0.05,0.25,135.56,0.2,200.0,400.0,30.0
4.068034,0.3218,0.25,-70.53,0.07179999999999997,200.0,400.0,30.0
4.174619,0.0529,0.25,140.03,0.1971,200.0,400.0,30.0
4.285284,0.3086,0.25,-57.36,0.058599999999999985,200.0,400.0,30.0
4.395587,0.0505,0.25,144.36,0.1995,200.0,400.0,30.0
4.503638,0.3004,0.25,-47.0,0.0504,200.0,400.0,30.0
4.612807,0.0525,0.25,148.11,0.1975,200.0,400.0,30.0
4.723279,0.3056,0.25,-42.87,0.05559999999999998,200.0,400.0,30.0
4.829918,0.0541,0.25,154.83,0.1959,200.0,400.0,30.0
4.940358,0.3118,0.25,-39.59,0.06180000000000002,200.0,400.0,30.0
5.051114,0.0532,0.25,162.14,0.1968,200.0,400.0,30.0
5.157576,0.3196,0.25,-38.64,0.0696,200.0,400.0,30.0
5.268096,0.0571,0.25,167.23,0.19290000000000002,200.0,400.0,30.0
5.37859,0.3322,0.25,-38.66,0.0822,200.0,400.0,30.0
5.485292,0.0591,0.25,175.19,0.19090000000000001,200.0,400.0,30.0
5.595741,0.3475,0.25,-41.3,0.09749999999999998,200.0,400.0,30.0
5.702152,0.0613,0.25,181.67,0.1887,200.0,400.0,30.0
5.813001,0.3589,0.25,-43.3,0.1089,200.0,400.0,30.0
5.923351,0.0629,0.25,187.55,0.1871,200.0,400.0,30.0
6.029896,0.3721,0.25,-46.19,0.12209999999999999,200.0,400.0,30.0
6.177567,0.0498,0.25,181.33,0.2002,200.0,400.0,30.0
6.287901,0.3654,0.25,-39.73,0.1154,200.0,400.0,30.0
6.394465,0.0653,0.25,197.91,0.1847,200.0,400.0,30.0
6.505311,0.3872,0.25,-42.16,0.1372,200.0,400.0,30.0
6.615745,0.073,0.25,203.42,0.177,200.0,400.0,30.0
6.722112,0.4011,0.25,-45.63,0.1511,200.0,400.0,30.0
6.832632,0.077,0.25,205.42,0.173,200.0,400.0,30.0
6.943208,0.4107,0.25,-49.37,0.1607,200.0,400.0,30.0
7.049916,0.0767,0.25,208.78,0.1733,200.0,400.0,30.0
7.160376,0.4117,0.25,-49.45,0.1617,200.0,400.0,30.0
7.2709,0.077,0.25,208.63,0.173,200.0,400.0,30.0
7.377315,0.4144,0.25,-50.16,0.1644,200.0,400.0,30.0
7.48814,0.08,0.25,209.02,0.16999999999999998,200.0,400.0,30.0
7.598463,0.41,0.25,-46.83,0.15999999999999998,200.0,400.0,30.0
7.705426,0.0768,0.25,209.13,0.17320000000000002,200.0,400.0,30.0
7.8157,0.4062,0.25,-45.88,0.1562,200.0,400.0,30.0
7.926176,0.0776,0.25,208.57,0.1724,200.0,400.0,30.0
8.032827,0.4077,0.25,-44.83,0.1577,200.0,400.0,30.0
8.143408,0.0772,0.25,210.67,0.1728,200.0,400.0,30.0
8.253951,0.4032,0.25,-41.16,0.1532,200.0,400.0,30.0
8.360466,0.0772,0.25,210.96,0.1728,200.0,400.0,30.0
8.470933,0.4107,0.25,-44.31,0.1607,200.0,400.0,30.0
8.577618,0.078,0.25,212.26,0.172,200.0,400.0,30.0
8.688106,0.4176,0.25,-48.02,0.16760000000000003,200.0,400.0,30.0
8.79851,0.0783,0.25,214.17,0.17170000000000002,200.0,400.0,30.0
8.905187,0.4125,0.25,-44.33,0.16249999999999998,200.0,400.0,30.0
