Tiempo,Velocidad,Setpoint,PWM,Error,KP,KI,KD
1.114683,0.0,0.0,0.0,0.0,140.0,430.0,3.0
1.221153,0.0,0.0,0.0,0.0,140.0,430.0,3.0
1.327541,0.0,0.0,0.0,0.0,140.0,430.0,3.0
1.430231,0.0,0.0,0.0,0.0,140.0,430.0,3.0
1.536577,0.0,0.0,0.0,0.0,140.0,430.0,3.0
1.643111,0.0,0.0,0.0,0.0,140.0,430.0,3.0
1.750158,0.0,0.0,0.0,0.0,140.0,430.0,3.0
1.855952,0.0,0.0,0.0,0.0,140.0,430.0,3.0
1.962397,0.0,0.0,0.0,0.0,140.0,430.0,3.0
2.069115,0.0,0.0,0.0,0.0,140.0,430.0,3.0
2.175398,0.0,0.0,0.0,0.0,140.0,430.0,3.0
2.281875,0.0,0.0,0.0,0.0,140.0,430.0,3.0
2.384565,0.0,0.0,0.0,0.0,140.0,430.0,3.0
2.491011,0.0,0.0,0.0,0.0,140.0,430.0,3.0
2.597402,0.0,0.0,0.0,0.0,140.0,430.0,3.0
2.703993,0.0,0.0,0.0,0.0,140.0,430.0,3.0
2.810308,0.0,0.0,0.0,0.0,140.0,430.0,3.0
2.916841,0.0,0.0,0.0,0.0,140.0,430.0,3.0
3.023222,0.0,0.0,0.0,0.0,140.0,430.0,3.0
3.129755,0.0,0.0,0.0,0.0,140.0,430.0,3.0
3.236204,0.0,0.0,0.0,0.0,140.0,430.0,3.0
3.338785,0.0,0.0,0.0,0.0,140.0,430.0,3.0
3.445301,0.0,0.0,0.0,0.0,140.0,430.0,3.0
3.551744,0.0,0.0,0.0,0.0,140.0,430.0,3.0
3.711463,0.0,0.25,56.89,0.25,140.0,430.0,3.0
3.81795,0.1764,0.25,25.94,0.0736,140.0,430.0,3.0
3.9284,0.1144,0.25,47.55,0.1356,140.0,430.0,3.0
4.034875,0.165,0.25,41.21,0.08499999999999999,140.0,430.0,3.0
4.141315,0.1595,0.25,47.72,0.0905,140.0,430.0,3.0
4.247861,0.1713,0.25,49.25,0.07869999999999999,140.0,430.0,3.0
4.354604,0.1825,0.25,50.77,0.0675,140.0,430.0,3.0
4.460901,0.1804,0.25,54.67,0.0696,140.0,430.0,3.0
4.567479,0.191,0.25,55.53,0.059,140.0,430.0,3.0
4.677982,0.1884,0.25,59.11,0.06159999999999999,140.0,430.0,3.0
4.784404,0.1969,0.25,60.05,0.05310000000000001,140.0,430.0,3.0
4.890886,0.1973,0.25,62.66,0.0527,140.0,430.0,3.0
